"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-03-31,3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,560500,0.00592246949030869,0.0157665820949619,0.0690444402059889,0.0958910424647639,0.00120328654656987,"2017-03","2017-Q1",560500,0,"2017-03"
2017-03-31,139,"Cook","IL","Chicago",1,213400,0.00470809792843691,0.0264550264550265,0.0756048387096774,0.0547155077959343,-0.0191038853019342,"2007-02","2007-Q1",258900,-0.175743530320587,"2003-08"
2017-03-31,2402,"Maricopa","AZ","Phoenix",2,238800,0.00293994120117598,0.00972515856236787,0.0608618391825855,0.111440795458373,-0.010803372285251,"2006-04","2006-Q2",277900,-0.140698092839151,"2005-07"
2017-03-31,2841,"San Diego","CA","San Diego",3,532000,0.0024495948746938,0.00282752120640905,0.0524233432245302,0.0858016622836011,0.00270910521378642,"2005-11","2005-Q4",543600,-0.0213392200147167,"2005-04"
2017-03-31,1286,"Orange","CA","Los Angeles-Long Beach-Anaheim",4,676600,-0.000738443361394181,0.00624628197501487,0.0410832435759348,0.0827330854013664,-0.00137878573825356,"2006-05","2006-Q2",708800,-0.0454288939051919,"2005-10"
2017-03-31,581,"Kings","NY","New York",5,695100,0.00346470333477696,0.0156341320864991,0.0871129183609634,0.0851752129383314,0.0415822136269686,"2017-03","2017-Q1",695100,0,"2017-03"
2017-03-31,2964,"Miami-Dade","FL","Miami-Fort Lauderdale",6,268500,0.00149198060425214,0.00864012021036814,0.0765838011226945,0.115431177530584,-0.0190067419349085,"2007-03","2007-Q1",325300,-0.174608054103904,"2005-08"
2017-03-31,978,"Dallas","TX","Dallas-Fort Worth",7,174300,0.00984936268829664,0.0216881594372802,0.13921568627451,0.103129740915055,0.0299171012977717,"2017-03","2017-Q1",174300,0,"2017-03"
2017-03-31,1347,"Queens","NY","New York",8,500100,0.0191563073160791,0.0339053132106678,0.13272933182333,0.0678312571552997,0.00181768052007802,"2017-03","2017-Q1",500100,0,"2017-03"
2017-03-31,2832,"Riverside","CA","Riverside",9,336200,0.00298329355608592,0.00930651456019213,0.0598991172761665,0.10573066027622,-0.0196255619549763,"2006-08","2006-Q3",424900,-0.208755001176747,"2004-09"
2017-03-31,3250,"San Bernardino","CA","Riverside",10,303800,0.00363396101750909,0.012329223592136,0.0753982300884956,0.121021900665786,-0.0189620716271542,"2006-07","2006-Q3",379000,-0.198416886543536,"2005-04"
2017-03-31,445,"Clark","NV","Las Vegas",11,219200,0.00458295142071494,0.0166975881261596,0.0992978936810431,0.134173619198342,-0.0286018032312929,"2006-05","2006-Q2",304700,-0.280603872661634,"2004-05"
2017-03-31,207,"King","WA","Seattle",12,540400,0.00896191187453323,0.0236787270316348,0.130543933054393,0.112229275468264,0.0233537958910339,"2017-03","2017-Q1",540400,0,"2017-03"
2017-03-31,791,"Wayne","MI","Detroit",13,71100,0.0113798008534851,0.037956204379562,0.194957983193277,0.0881699705187851,-0.0389667951942805,"2005-04","2005-Q2",112500,-0.368,
2017-03-31,2049,"Tarrant","TX","Dallas-Fort Worth",14,181500,0.010016694490818,0.0236886632825719,0.106707317073171,0.0795212531009624,0.0301931876945201,"2017-03","2017-Q1",181500,0,"2017-03"
2017-03-31,3136,"Santa Clara","CA","San Jose",15,1004400,0.00560672807368843,0.020627984960878,0.0352504638218924,0.117394201125741,0.0295281930081845,"2017-03","2017-Q1",1004400,0,"2017-03"
2017-03-31,1561,"Broward","FL","Miami-Fort Lauderdale",16,226100,0.00488888888888889,0.0152671755725191,0.0943852855759923,0.12262901277094,-0.0194245922567459,"2006-05","2006-Q2",286600,-0.211095603628751,"2005-03"
2017-03-31,2452,"New York","NY","New York",17,1242200,0.0109872222674371,0.027035965274907,0.150078696416998,0.093007046569624,0.0424716584624585,"2017-03","2017-Q1",1242200,0,"2017-03"
2017-03-31,3175,"Philadelphia","PA","Philadelphia",18,135800,0.00518134715025907,0.0202854996243426,0.0864,0.0387331760099443,0.0143210722921554,"2017-03","2017-Q1",135800,0,"2017-03"
2017-03-31,1510,"Alameda","CA","San Francisco",19,770400,0.00798115923066859,0.0265156562291805,0.0667405150927721,0.138084600756555,0.0207285315364183,"2017-03","2017-Q1",770400,0,"2017-03"
2017-03-31,2801,"Middlesex","MA","Boston",20,486400,0.00641423546451479,0.019279128248114,0.0701870187018702,0.0620334928440207,0.0221509003205562,"2017-03","2017-Q1",486400,0,"2017-03"
2017-03-31,2046,"Suffolk","NY","New York",21,377600,0.0128755364806867,0.0365083722206972,0.0932252460914881,0.0270660870893518,-0.0148861270045774,"2006-07","2006-Q3",448600,-0.158270173874276,"2004-08"
2017-03-31,3017,"Sacramento","CA","Sacramento",22,325800,0.00773275595422209,0.018125,0.0958627648839556,0.130808424147474,-0.00631291197954287,"2005-12","2005-Q4",385900,-0.155739828971236,"2004-10"
2017-03-31,1252,"Nassau","NY","New York",23,497600,0.00647249190938511,0.0219757650441569,0.0824450728736132,0.0483289140167935,-0.0000803503317075016,"2006-08","2006-Q3",510100,-0.0245049990198,"2005-12"
2017-03-31,2993,"Palm Beach","FL","Miami-Fort Lauderdale",24,251700,0.002389486260454,0.00922213311948677,0.0849137931034483,0.121608771294509,-0.0133133717784835,"2006-03","2006-Q1",320400,-0.214419475655431,"2005-02"
2017-03-31,2241,"Cuyahoga","OH","Cleveland",25,115200,0.00261096605744125,0.0167696381288614,0.0686456400742115,0.0356313794301064,-0.0109433870255293,"2006-02","2006-Q1",134400,-0.142857142857143,"2000-11"
2017-03-31,3165,"Hillsborough","FL","Tampa",26,194800,0.0082815734989648,0.02905441098785,0.11441647597254,0.106772062705298,-0.0102314931205498,"2006-08","2006-Q3",222500,-0.124494382022472,"2005-11"
2017-03-31,2614,"Allegheny","PA","Pittsburgh",27,138300,0.00362844702467344,0.0131868131868132,0.05895865237366,0.0440215484801625,0.028223557812638,"2017-03","2017-Q1",138300,0,"2017-03"
